County,Registration Valid Date,Vehicle Name
Oakland,11/16/17,BMW 7-Series Plug in
Kent,11/16/17,Chevrolet Volt
Zip Code not in Source Sheet,11/16/17,Ford Fusion Energi
Oakland,11/16/17,Ford Fusion Energi
Washtenaw,11/17/17,Chevrolet Volt
Oakland,11/16/17,Chevrolet Volt
Calhoun,11/16/17,Chevrolet Volt
Kent,11/16/17,Toyota Prius Prime
Macomb,11/16/17,Chevrolet Volt
Ingham,11/16/17,Chevrolet Volt
Kalamazoo,11/16/17,Chrysler Pacifica
Oakland,11/16/17,Chevrolet Volt
Kalamazoo,11/16/17,Chevrolet Volt
Livingston,11/16/17,Smart forTwo EV
Allegan,11/16/17,Chevrolet Volt
Oakland,11/16/17,Tesla Model S
Wayne,11/16/17,Ford Fusion Energi
Wayne,11/16/17,Ford C-Max Energi
Wayne,11/16/17,Chevrolet Volt
Washtenaw,11/15/17,Ford C-Max Energi
Wayne,11/15/17,Ford C-Max Energi
Allegan,11/15/17,Ford C-Max Energi
Wayne,11/16/17,Ford C-Max Energi
Washtenaw,11/16/17,Chevrolet Volt
Oakland,11/15/17,Chevrolet Volt
Macomb,11/16/17,Ford C-Max Energi
Oakland,11/16/17,Tesla Model S
Washtenaw,11/16/17,Ford Fusion Energi
Kent,11/16/17,Tesla Model S
Wayne,11/16/17,Chevrolet Volt
Oakland,11/16/17,Tesla Model S
Genesee,11/16/17,Ford Fusion Energi
Oakland,11/16/17,Tesla Model S
Wayne,11/16/17,Chevrolet Volt
Wayne,11/16/17,Ford C-Max Energi
Oakland,11/16/17,Chevrolet Volt
Washtenaw,11/16/17,Ford C-Max Energi
Wayne,11/17/17,Ford C-Max Energi
Oceana,11/17/17,Chevrolet Volt
Wayne,11/17/17,Chevrolet Volt
Wayne,11/17/17,Ford C-Max Energi
Livingston,11/17/17,Chevrolet Volt
Macomb,11/17/17,Chevrolet Volt
Saginaw,11/17/17,Chevrolet Volt
St. Joseph,11/17/17,Ford Fusion Energi
Oakland,11/17/17,Cadillac ELR
Calhoun,11/17/17,Tesla Model S
Ingham,11/17/17,Nissan Leaf
Washtenaw,11/17/17,Ford C-Max Energi
Oakland,11/17/17,Chevrolet Volt
Wayne,11/18/17,Ford Fusion Energi
Washtenaw,11/18/17,Ford C-Max Energi
Oakland,11/18/17,Chevrolet Volt
Livingston,11/19/17,Tesla Model S
Wayne,11/18/17,Chevrolet Volt
Washtenaw,11/18/17,Chevrolet Bolt EV
Kent,11/17/17,Chevrolet Volt
Lenawee,11/17/17,Chevrolet Volt
Wayne,11/17/17,Ford Fusion Energi
St. Clair,11/18/17,Ford Fusion Energi
Barry,11/18/17,Chevrolet Volt
Oakland,11/17/17,BMW X5
Ingham,11/17/17,Chevrolet Volt
Washtenaw,11/17/17,Ford C-Max Energi
Wayne,11/17/17,Ford Fusion Energi
Kent,11/17/17,Chevrolet Volt
Ingham,11/17/17,Ford Fusion Energi
Oakland,11/17/17,Chevrolet Volt
Wayne,11/17/17,Ford C-Max Energi
Oakland,11/17/17,Ford Fusion Energi
Barry,11/17/17,Chevrolet Volt
Oakland,11/17/17,Ford C-Max Energi
Macomb,11/17/17,Chevrolet Volt
Monroe,11/17/17,Nissan Leaf
Wayne,11/17/17,Ford C-Max Energi
Oakland,11/17/17,Chevrolet Volt
Wayne,11/17/17,Chevrolet Volt
Oakland,11/17/17,Ford Fusion Energi
Kent,11/17/17,Chevrolet Volt
Wayne,11/17/17,Ford Fusion Energi
Oakland,11/17/17,Cadillac ELR
Oakland,11/17/17,Chevrolet Volt
Washtenaw,11/17/17,Ford C-Max Energi
Jackson,11/17/17,Cadillac CT6
Wayne,11/17/17,Ford C-Max Energi
Oakland,11/17/17,Ford C-Max Energi
Macomb,10/30/17,Chevrolet Volt
Oakland,10/30/17,Tesla Model X
Ottawa,10/30/17,Chevrolet Volt
Montcalm,10/30/17,Ford C-Max Energi
Oakland,10/30/17,Chevrolet Bolt EV
Oakland,10/30/17,Chevrolet Volt
Livingston,10/30/17,Ford C-Max Energi
Wayne,10/30/17,Ford Fusion Energi
Ottawa,10/30/17,Nissan Leaf
Wayne,10/30/17,Ford Fusion Energi
Oakland,10/30/17,Chevrolet Volt
Oakland,10/30/17,Ford C-Max Energi
Oakland,10/31/17,Chevrolet Volt
Monroe,10/31/17,Chevrolet Volt
Monroe,10/31/17,Tesla Model S
Kent,10/31/17,Ford Fusion Energi
Kent,10/31/17,Nissan Leaf
Kalamazoo,10/31/17,Tesla Model S
Ingham,10/31/17,Chevrolet Volt
Macomb,10/31/17,Cadillac ELR
Oakland,10/30/17,Chevrolet Volt
Livingston,10/31/17,Chevrolet Volt
Oakland,10/31/17,Chevrolet Volt
Wayne,10/31/17,Ford Fusion Energi
Washtenaw,10/30/17,BMW i3 REx
Oakland,10/30/17,Chevrolet Volt
Macomb,10/30/17,Chevrolet Volt
Wayne,10/30/17,Ford C-Max Energi
Lapeer,10/30/17,Tesla Model X
Ottawa,10/30/17,Tesla Model X
Wayne,10/29/17,Ford Focus EV
Macomb,10/29/17,Chevrolet Volt
Kent,10/29/17,Tesla Model S
Genesee,10/30/17,Ford Fusion Energi
Macomb,10/30/17,Chevrolet Volt
Oakland,10/30/17,Chevrolet Volt
Oakland,10/30/17,Chevrolet Volt
Oakland,10/30/17,Ford Fusion Energi
Oakland,10/30/17,Ford C-Max Energi
Oakland,10/30/17,Chevrolet Volt
Washtenaw,10/30/17,BMW i3
Oakland,10/30/17,Chevrolet Volt
Genesee,10/30/17,Chevrolet Volt
Oakland,10/30/17,Ford Fusion Energi
Oakland,10/30/17,Chevrolet Volt
Oakland,10/30/17,Cadillac ELR
Clinton,10/30/17,Chevrolet Volt
Oakland,10/30/17,Ford C-Max Energi
Oakland,10/31/17,Chevrolet Volt
Wayne,11/1/17,Tesla Model S
Kent,11/1/17,Chevrolet Volt
Menominee,11/1/17,Nissan Leaf
Dickinson,11/1/17,Chevrolet Volt
Wayne,11/1/17,Ford Fusion Energi
Macomb,11/1/17,Tesla Model S
Oakland,11/1/17,Chevrolet Volt
Monroe,11/1/17,Chevrolet Volt
Oakland,11/1/17,Chevrolet Volt
Wayne,11/1/17,Ford C-Max Energi
Livingston,11/1/17,Cadillac ELR
Marquette,11/1/17,Toyota Prius Plug-in
Oakland,11/1/17,Ford Fusion Energi
Oakland,11/1/17,Audi A3 Plug In
Oakland,11/1/17,Chevrolet Volt
Oakland,11/1/17,Ford Fusion Energi
Dickinson,11/1/17,Chevrolet Volt
Ottawa,11/1/17,Chevrolet Volt
Lenawee,11/1/17,Cadillac ELR
Livingston,11/1/17,Chevrolet Volt
Oakland,11/1/17,Tesla Model S
Wayne,11/1/17,Ford C-Max Energi
Macomb,11/1/17,Chevrolet Volt
Washtenaw,11/1/17,Chevrolet Volt
Eaton,10/31/17,Nissan Leaf
Macomb,10/31/17,Chevrolet Volt
Oakland,10/31/17,Chevrolet Volt
Oakland,10/31/17,Ford Fusion Energi
Washtenaw,10/31/17,Chevrolet Volt
Wayne,10/31/17,Mitsubishi i
Ionia,10/31/17,Tesla Model S
Wayne,10/31/17,Chevrolet Volt
Oakland,10/31/17,Ford C-Max Energi
Washtenaw,10/31/17,Chevrolet Volt
Saginaw,10/31/17,BMW X5
Oakland,10/31/17,Ford Fusion Energi
Macomb,10/31/17,Chevrolet Volt
Berrien,10/31/17,Chevrolet Volt
Oakland,10/31/17,Tesla Model X
Ingham,11/1/17,Chevrolet Volt
Oscoda,11/1/17,Chevrolet Volt
Kent,10/31/17,Ford Fusion Energi
Oakland,10/31/17,Chevrolet Volt
Eaton,10/31/17,Chevrolet Volt
Oakland,10/31/17,Tesla Model S
Kent,10/31/17,Chevrolet Volt
Allegan,10/31/17,Tesla Model S
Genesee,10/31/17,Chevrolet Volt
Wayne,10/29/17,Ford C-Max Energi
Calhoun,10/25/17,Chevrolet Volt
Jackson,10/25/17,Tesla Model S
Macomb,10/25/17,Chevrolet Volt
Oakland,10/26/17,Tesla Model S
Washtenaw,10/26/17,Chevrolet Volt
Wayne,10/25/17,Ford Fusion Energi
Washtenaw,10/25/17,Tesla Model X
Ingham,10/25/17,Toyota Prius Prime
Washtenaw,10/25/17,Chevrolet Volt
Kent,10/25/17,Nissan Leaf
Ingham,10/25/17,Nissan Leaf
Ottawa,10/25/17,Chevrolet Volt
Kent,10/26/17,Chevrolet Volt
Macomb,10/26/17,Ford C-Max Energi
Wayne,10/26/17,Ford C-Max Energi
Macomb,10/26/17,Ford Fusion Energi
Macomb,10/26/17,Cadillac ELR
Livingston,10/26/17,Chevrolet Volt
Ingham,10/26/17,Chevrolet Volt
Wayne,10/26/17,Ford Fusion Energi
Wayne,10/26/17,Chevrolet Volt
Saginaw,10/26/17,Chevrolet Volt
Genesee,10/26/17,Chevrolet Volt
Wayne,10/26/17,Chevrolet Volt
Macomb,10/25/17,Porsche Cayenne S E-Hybrid
St. Joseph,10/25/17,Toyota Prius Plug-in
Berrien,10/25/17,Chevrolet Volt
Macomb,10/25/17,Ford Fusion Energi
Macomb,10/25/17,Chevrolet Bolt EV
Kent,10/25/17,Chevrolet Volt
Wayne,10/25/17,Ford C-Max Energi
Iosco,10/25/17,Chevrolet Volt
Kalamazoo,10/25/17,Chevrolet Bolt EV
Wayne,10/25/17,Tesla Model S
Midland,10/25/17,Chevrolet Volt
Kent,10/25/17,Tesla Model X
Wayne,10/25/17,BMW i3 REx
Washtenaw,10/25/17,Ford C-Max Energi
Washtenaw,10/25/17,Tesla Model S
Oakland,10/25/17,Chevrolet Bolt EV
Saginaw,10/25/17,Ford Fusion Energi
Ingham,10/25/17,Chevrolet Volt
Lapeer,10/25/17,Chevrolet Volt
Washtenaw,10/25/17,BMW X5
Oakland,10/25/17,Fiat 500e
Wayne,10/25/17,Tesla Model S
Macomb,10/25/17,Chevrolet Volt
Wayne,10/25/17,Ford C-Max Energi
Oakland,10/26/17,Chevrolet Volt
Washtenaw,10/28/17,Chevrolet Volt
Oakland,10/27/17,Tesla Model S
Oakland,10/27/17,Ford Fusion Energi
Oakland,10/28/17,Tesla Model X
Washtenaw,10/28/17,Ford Fusion Energi
Genesee,10/28/17,Chevrolet Volt
Wayne,10/27/17,Ford C-Max Energi
Ingham,10/27/17,Ford C-Max Energi
Eaton,10/27/17,Nissan Leaf
Kent,10/27/17,Tesla Model S
Wayne,10/27/17,Ford C-Max Energi
Ingham,10/27/17,Chevrolet Volt
Washtenaw,10/28/17,Tesla Model S
Wayne,10/28/17,Ford Fusion Energi
Wayne,10/28/17,Chevrolet Volt
Oakland,10/29/17,Chevrolet Volt
Wayne,10/29/17,Chevrolet Volt
Wayne,10/28/17,Ford Fusion Energi
