"statecode_of_county","county","income_yr_2021","income_yr_2020","income_yr_2019","vehicle_cnt","station_cnt"
"NY","Erie",54783277,52647259,48328762,44550,239
"NY","Essex",2016518,1904891,1774055,2320,57
"NY","Franklin",2309122,2138921,1980866,1376,35
"NY","Fulton",2738572,2582903,2372956,1696,10
"NY","Genesee",2930933,2816828,2604935,1784,16
"NY","Greene",2706507,2540254,2339552,2572,18
"NY","Hamilton",279273,267532,250573,476,9
"NY","Herkimer",3113483,2892832,2668872,1071,12
"NY","Jefferson",6178742,5849400,5398665,3368,11
"NY","Kings",163351099,153686122,141246604,40926,111
"NY","Lewis",1451659,1358230,1252306,430,3
"NY","Livingston",3214923,3057153,2916232,2063,21
"NY","Madison",3705379,3512077,3296318,3738,26
"NY","Monroe",45344632,43428947,40280470,58852,212
"NY","Montgomery",2419489,2274810,2086900,1714,22
"NY","Nassau",138530627,130637040,125221986,131775,81
"NY","New York",308346366,295922430,295495946,64006,367
"NY","Niagara",11246678,10828511,9892726,8944,16
"NY","Oneida",12244120,11543305,10697063,8544,60
"NY","Onondaga",28863443,27473774,25224238,24218,118
"NY","Ontario",6981181,6655940,6201794,7539,26
"NY","Orange",23819666,22212389,20709035,17884,41
"NY","Orleans",1861735,1773516,1610864,1260,4
"NY","Oswego",5701985,5381080,4917700,3190,9
"NY","Otsego",3105545,2924027,2731751,2474,16
"NY","Putnam",7712854,7239227,6880210,7398,6
"NY","Queens",136713216,128983941,117339645,70302,107
"NY","Rensselaer",9313581,8793355,8089734,9183,74
"NY","Richmond",32133087,29919962,27942107,18853,25
"NY","Rockland",23465401,21928649,20549956,21547,39
"NY","Saratoga",17956502,16887509,15835321,19428,190
"NY","Schenectady",9878025,9224559,8515608,11484,89
"NY","Schoharie",1553692,1459947,1349286,1312,3
"NY","Schuyler",884236,835153,768151,841,8
"NY","Seneca",1592411,1507189,1378598,999,6
"NY","Steuben",5041314,4766190,4473600,3588,15
"NY","St. Lawrence",4929884,4637938,4266031,3040,19
"NY","Suffolk",124106210,116878615,110217697,182362,216
"NY","Sullivan",4299492,4024533,3702783,2799,18
"NY","Tioga",2587015,2456577,2273403,1725,4
"NY","Tompkins",5402874,5116408,4794901,14026,41
"NY","Ulster",11078945,10366436,9705800,16795,99
"NY","Warren",4094067,3890195,3544444,4358,108
"NY","Washington",2999132,2821689,2597515,2996,7
"NY","Wayne",4864327,4685272,4359656,4552,28
"NY","Westchester",119452645,112460093,108091411,108544,136
"NY","Wyoming",1986581,1855490,1709223,679,4
"NY","Yates",1204405,1146475,1058402,923,4
"TX","Anderson",2478790,2251483,2114625,589,4
"TX","Angelina",3994017,3686181,3490130,1089,1
"TX","Aransas",1467599,1349661,1294294,597,3
"TX","Austin",1770681,1660546,1628059,591,1
"TX","Bandera",1265999,1169623,1107004,778,2
"TX","Bastrop",4513977,3914961,3559572,4219,9
"TX","Bell",18755136,17281904,16002569,10649,22
"TX","Bexar",105022781,97376012,93739999,76605,160
"TX","Blanco",785525,732282,680805,500,6
"TX","Bowie",4424586,4138275,3860409,1160,3
"TX","Brazoria",21399140,19924966,18828490,12142,21
"TX","Brazos",11069783,10196030,9569716,5912,19
"TX","Brewster",500987,465575,437471,189,4
"TX","Burnet",3025679,2757010,2579527,1729,2
"TX","Calhoun",1195244,1177397,1155632,172,2
"TX","Callahan",719347,663652,624632,172,1
"TX","Cameron",16016476,14337302,12750515,6790,12
"TX","Childress",269122,241086,225099,43,2
"TX","Clay",533040,503744,476005,142,1
"TX","Coke",162079,152581,142718,3,1
"TX","Coleman",424045,387067,362144,49,1
"TX","Collin",85435514,77500394,73362556,70504,168
"TX","Colorado",1221682,1125007,1055583,413,2
"TX","Comal",11735054,10495538,9825181,7332,3
"TX","Comanche",690289,646438,596691,126,1
"TX","Coryell",3156665,2917721,2698824,1958,1
"TX","Crockett",174916,166540,162139,77,2
"TX","Culberson",156354,144912,125641,52,2
"TX","Dallas",186760534,172648251,168511762,115883,328
"TX","Dawson",572721,545929,507953,91,1
"TX","Denton",64759448,58886341,55032735,51154,48
"TX","DeWitt",1332842,1179756,1201875,226,1
"TX","Dickens",88512,82068,74759,38,1
"TX","Dimmit",472546,431121,433652,2,1
"TX","Eastland",1186170,1058276,1198951,177,2
"TX","Ector",8636134,8166011,8694234,1405,3
"TX","Ellis",10821508,9607839,8896939,6655,7
"TX","El Paso",38245050,35308598,32579005,20790,29
"TX","Erath",2034672,1912497,1786301,677,1
"TX","Fayette",1613027,1512107,1453676,379,4
"TX","Fort Bend",56488118,52213834,50801732,28316,45
"TX","Galveston",21328914,20063655,19442634,11246,28
"TX","Gillespie",2130226,1964307,1854342,1099,7
"TX","Grayson",7253087,6563975,6137645,4618,8
"TX","Gregg",6577421,6187301,5906642,2745,8
"TX","Grimes",1269450,1165561,1089605,756,4
"TX","Guadalupe",9239594,8554899,7995694,7328,10
"TX","Hale",1402943,1279862,1192593,305,1
"TX","Hamilton",639167,594732,563141,197,1
"TX","Hardin",2993594,2853085,2765423,695,3
