"income_yr_2019","income_yr_2020","income_yr_2021","stations_count"
656771,708670,783404,1
2555703,2730346,2951560,1
769954,842155,927284,1
9908830,10748629,11493083,6
2088049,2341194,2567298,4
823829,907489,991056,1
355660,390674,421536,2
313528,341885,367634,1
3220124,3547527,3783442,4
3401290,3742374,4052498,13
728596,795145,866104,2
836191,903391,986276,1
1016330,1117192,1205242,1
378174,421618,458933,1
1079485,1143099,1247220,2
2048743,2237379,2419279,5
799707,864765,975979,3
4450009,4635612,5021534,3
2091778,2281521,2450082,2
41691123,44807583,47818804,81
2517019,2764765,3049184,1
542120,600825,665395,1
781162,861824,938978,2
2595053,2828273,3048055,4
722541,801989,871102,1
5152455,5601818,6011596,11
1267088,1408704,1561246,3
225305,257404,294674,1
1434962,1506040,1620718,3
2311239,2516556,2624101,1
6568430,6992665,7518111,5
1547216,1687172,1796091,1
1612787,1737203,1829758,1
5810327,6261672,6711599,5
11888676,12592480,13384058,5
9894099,10178706,10423286,7
23650907,25521678,26904204,27
2860585,3065202,3282802,2
22563012,24159463,25277258,26
12226797,13281520,14084253,19
4461336,4588451,4837524,1
1934088,2047985,2195172,3
6149111,6561639,7124419,1
1561330,1619928,1724643,3
20962075,22319782,23466006,33
6425619,6996323,7430981,4
6027093,6552427,6966956,8
1793488,1924995,2064492,1
3470664,3762700,4050890,2
2081988,2219610,2383637,1
18249140,17750124,19223887,16
620072,652245,700314,2
4656425,5123802,5525754,13
2875587,3153415,3335138,10
19550389,21117744,22578454,119
1205657,1300832,1401417,11
2948236,3159919,3377409,44
5711267,6253314,6679699,28
2145562,2295713,2441206,18
1844781,1969753,2135811,9
2269744,2469806,2657772,28
6559119,7231595,7711591,15
672976,766481,840869,5
1907324,2065978,2218449,10
1990229,2198096,2370723,13
1770005,1923805,2065707,8
1300897,1456541,1533655,9
11454775,12319105,13380772,57
2863956,3062385,3206750,13
39953233,42393414,44900444,123
52451659,55878165,59079164,337
5900895,6209522,6639770,14
1540492,1607482,1787791,5
10725097,11347560,12066304,20
5075796,5361386,5745204,6
9373119,10056542,10786420,33
1500940,1604708,1756833,13
16667929,17819954,19225710,50
1341773,1431496,1521425,15
15403672,16416097,17523077,43
25758871,27296792,28896659,122
1159416,1215394,1303579,9
91221261,92866711,97825022,244
45500826,49535795,52461141,153
3391982,3572290,3851044,9
6660477,7050778,7527632,27
780810,811629,919309,4
2840984,2998427,3186725,13
5400692,5907444,6365448,4
4778801,5110747,5393230,2
7117442,7653612,8195779,29
4203949,4516340,4875986,19
2986853,3169769,3390411,21
16845412,18119802,19334595,95
7341816,7929627,8369201,68
31747638,35396606,37666598,96
1618616,1680054,1821545,12
55092458,59154399,63027041,234
3992394,4280341,4499912,38
24828280,26997609,28467452,90
8888428,9421270,9810182,98
142160381,149927960,159089502,802
1347142,1335983,1476656,12
67472335,70995974,75391278,177
