"statecode_of_county","county","income_yr_2021","income_yr_2020","income_yr_2019","ev_count"
"TX","Bexar",105022781,97376012,93739999,76605
"TX","Blanco",785525,732282,680805,500
"CA","El Dorado",15172658,14272152,13283051,10749
"NY","Oneida",12244120,11543305,10697063,8544
"TX","Borden",62607,45703,46388,23
"TX","Bosque",942602,853713,806682,327
"TX","Bowie",4424586,4138275,3860409,1160
"TX","Brazoria",21399140,19924966,18828490,12142
"TX","Brazos",11069783,10196030,9569716,5912
"TX","Brewster",500987,465575,437471,189
"TX","Briscoe",82584,64677,66870,20
"TX","Brooks",303796,284008,259467,44
"TX","Brown",1757888,1634132,1552114,291
"TX","Burleson",1037615,933962,889181,267
"TX","Burnet",3025679,2757010,2579527,1729
"TX","Caldwell",1948493,1709481,1558669,1988
"TX","Calhoun",1195244,1177397,1155632,172
"TX","Callahan",719347,663652,624632,172
"TX","Cameron",16016476,14337302,12750515,6790
"TX","Camp",589228,534060,497324,132
"TX","Carson",323825,277520,284966,166
"TX","Cass",1316644,1229148,1141486,287
"TX","Castro",603927,556368,494512,72
"TX","Chambers",2960776,2761284,2581902,854
"TX","Cherokee",2216376,2029278,1883379,982
"TX","Childress",269122,241086,225099,43
"TX","Clay",533040,503744,476005,142
"TX","Bee",1074230,1018947,986838,428
"TX","Cochran",156759,118714,104487,4
"TX","Coke",162079,152581,142718,3
"TX","Coleman",424045,387067,362144,49
"TX","Collin",85435514,77500394,73362556,70504
"TX","Collingsworth",141576,126478,119760,27
"TX","Colorado",1221682,1125007,1055583,413
"TX","Comal",11735054,10495538,9825181,7332
"TX","Comanche",690289,646438,596691,126
"TX","Concho",129080,116064,100065,7
"TX","Cooke",2526200,2329302,2206710,880
"TX","Coryell",3156665,2917721,2698824,1958
"TX","Crockett",174916,166540,162139,77
"TX","Crosby",270091,231254,216424,7
"TX","Culberson",156354,144912,125641,52
"TX","Dallam",505704,489731,458080,111
"TX","Dallas",186760534,172648251,168511762,115883
"TX","Dawson",572721,545929,507953,91
"TX","Deaf Smith",1111006,1022436,950051,147
"TX","Delta",255966,232600,214174,152
"TX","Denton",64759448,58886341,55032735,51154
"TX","DeWitt",1332842,1179756,1201875,226
"TX","Dickens",88512,82068,74759,38
"TX","Dimmit",472546,431121,433652,2
"TX","Donley",165277,152734,144328,20
"TX","Duval",506209,462617,433607,101
"TX","Eastland",1186170,1058276,1198951,177
"TX","Ector",8636134,8166011,8694234,1405
"TX","Edwards",106384,103639,90618,67
"TX","Ellis",10821508,9607839,8896939,6655
"TX","El Paso",38245050,35308598,32579005,20790
"TX","Erath",2034672,1912497,1786301,677
"TX","Falls",755844,685032,623461,126
"TX","Fannin",1698580,1530867,1451379,524
"TX","Fayette",1613027,1512107,1453676,379
"TX","Fisher",212150,179919,172024,6
"TX","Floyd",285113,240720,243463,70
"TX","Foard",66181,59428,54389,8
"TX","Fort Bend",56488118,52213834,50801732,28316
"TX","Franklin",543357,490475,458386,218
"TX","Freestone",870336,796909,758065,219
"TX","Frio",735566,659202,623735,134
"TX","Gaines",1108244,1031566,975969,124
"TX","Galveston",21328914,20063655,19442634,11246
"TX","Gillespie",2130226,1964307,1854342,1099
"TX","Gonzales",1130897,980281,958984,314
"TX","Gray",1047612,987616,962484,141
"TX","Grayson",7253087,6563975,6137645,4618
"TX","Gregg",6577421,6187301,5906642,2745
"TX","Grimes",1269450,1165561,1089605,756
"TX","Guadalupe",9239594,8554899,7995694,7328
"TX","Hale",1402943,1279862,1192593,305
"TX","Hamilton",639167,594732,563141,197
"TX","Hansford",397725,359422,351170,39
"TX","Hardeman",194816,182381,168239,61
"TX","Hardin",2993594,2853085,2765423,695
"TX","Harris",311430719,291723832,284905380,153938
"TX","Harrison",3314207,3087061,2986984,1240
"TX","Haskell",293932,264517,254848,17
"TX","Hays",14326908,12521811,11335317,15006
"TX","Hemphill",247716,235545,237048,26
"TX","Henderson",4065751,3700538,3478135,1508
"TX","Hidalgo",30374915,27336762,24428598,11444
"TX","Hill",1822365,1659210,1555073,763
"TX","Hockley",1123404,1052274,987192,944
"TX","Hood",3911877,3570028,3350515,2546
"TX","Hopkins",1870658,1693092,1592076,615
"TX","Houston",1086136,1014236,937438,175
"TX","Howard",1740771,1634203,1640804,354
"TX","Hudspeth",139699,125899,115875,3
"TX","Hunt",4838988,4344500,4039320,2011
"TX","Hutchinson",1027416,953903,904488,197
"TX","Jack",394334,367365,355595,63
"TX","Jackson",785860,719238,714656,68
"TX","Jasper",1631430,1540030,1476486,316
"TX","Jeff Davis",115580,106160,101540,86
"TX","Jefferson",12239448,11710811,11201120,3593
"TX","Jim Hogg",208057,189460,175557,20
"TX","Jim Wells",1977009,1834591,1700770,203
"TX","Johnson",9667250,8625367,7973194,5209
"TX","Jones",773332,699983,666918,485
"TX","Karnes",1079163,928867,956037,188
"TX","Kaufman",7808582,6803648,6197865,4148
"TX","Kendall",4521032,4179972,4077065,4718
"TX","Kerr",3264115,3023699,2859066,1648
"TX","Kimble",237216,218443,204834,37
"TX","King",23718,22299,22108,2
"TX","Kinney",134369,125765,116711,32
"TX","Kleberg",1403639,1302797,1259649,1498
"TX","Knox",168623,157352,143885,67
"TX","Lamar",2539934,2341940,2169885,732
"TX","Lamb",705381,646798,596510,68
"TX","Lampasas",1301889,1203980,1125475,522
"TX","La Salle",351192,304925,313344,27
"TX","Lavaca",1281426,1192400,1154253,271
"TX","Lee",1003462,956555,952556,221
"TX","Leon",848685,760628,723094,209
"TX","Liberty",4179417,3771548,3476826,889
"TX","Limestone",1049299,949312,898451,280
"TX","Lipscomb",300630,288446,279475,31
"TX","Live Oak",524862,483104,461181,183
"TX","Llano",1311848,1205745,1144364,934
"TX","Lubbock",15999431,14926650,14078519,5601
"TX","Lynn",332724,246637,260677,89
"TX","McCulloch",344593,320094,310193,43
"TX","McLennan",13027403,11956868,11000967,6793
"TX","Madison",560509,495964,459261,123
"TX","Marion",458924,427530,412016,140
"TX","Martin",438354,383741,412543,631
"TX","Mason",225120,208575,200197,72
"TX","Matagorda",1845376,1723779,1661839,364
"TX","Maverick",2232152,2049750,1883020,552
"TX","Medina",2603003,2381312,2240221,1371
"TX","Menard",93926,86965,81282,35
"TX","Midland",21288003,18788666,24411344,2660
"TX","Milam",1136961,1018824,943004,410
"TX","Mills",231669,219019,198238,84
"TX","Mitchell",321233,300871,292811,17
"TX","Montague",933008,867033,847155,229
"TX","Montgomery",44756112,41520917,39946816,25017
"TX","Moore",1195988,1071712,1009088,119
"TX","Morris",568123,527583,494007,146
"TX","Nacogdoches",2990626,2718938,2567449,828
"TX","Navarro",2444624,2210198,2049649,690
"TX","Newton",527872,498159,480852,62
"TX","Nolan",768228,698186,672864,128
"TX","Nueces",18661085,17354128,16689389,6268
"TX","Ochiltree",628463,552721,594253,70
"TX","Oldham",123840,119651,112192,23
"TX","Orange",4144861,3978309,3839928,914
"TX","Palo Pinto",1492889,1354523,1281045,429
"TX","Panola",1208405,1095170,1097838,176
"TX","Parker",10245737,9162758,8462292,5943
"TX","Parmer",623245,551551,494442,41
"TX","Pecos",660065,621861,629468,87
"TX","Polk",2490838,2313862,2140497,565
"TX","Potter",6499175,6131166,5629486,1311
"TX","Presidio",379304,338748,312910,69
"TX","Rains",519909,475301,444535,264
"TX","Randall",8110571,7508592,6992146,3824
"TX","Real",156700,143318,130756,53
"TX","Red River",621871,568236,534179,142
"TX","Reeves",765078,707834,761016,56
"TX","Refugio",368034,333782,321978,75
"TX","Robertson",896972,796308,752722,132
